iter	MultiClass
0	1.241236558
1	1.164012909
2	1.099196452
3	1.054493687
4	1.021159671
5	0.9979093982
6	0.9741486507
7	0.9574741572
8	0.9483616435
9	0.936315253
10	0.9222728774
11	0.9057360685
12	0.8971891233
13	0.8915918814
14	0.8830442926
15	0.8751700661
16	0.8661286471
17	0.85913971
18	0.8524990643
19	0.8385143123
20	0.8282931681
21	0.8216679541
22	0.8186845688
23	0.8135699366
24	0.8112676387
25	0.8037317929
26	0.7992205209
27	0.7948854427
28	0.788340269
29	0.7837340918
30	0.7774410554
31	0.7722398521
32	0.7649297234
33	0.7594455414
34	0.755067136
35	0.7498257651
36	0.7464976838
37	0.7437489376
38	0.738604126
39	0.7330112883
40	0.7299872282
41	0.7260966059
42	0.7237051933
43	0.7209115667
44	0.7161148569
45	0.7136539643
46	0.7101736936
47	0.706576631
48	0.7026059503
49	0.6998370374
50	0.695923189
51	0.6931881455
52	0.6910007222
53	0.6888022427
54	0.6855046409
55	0.6823343893
56	0.6806596009
57	0.6782128725
58	0.6759328664
59	0.6733731179
60	0.6703672357
61	0.6689379954
62	0.6673753587
63	0.6641648442
64	0.6615489543
65	0.6598191561
66	0.6588139278
67	0.6567918049
68	0.6541374248
69	0.6510341993
70	0.6494683233
71	0.6464076418
72	0.6435925096
73	0.6423905659
74	0.6412895321
75	0.6394886276
76	0.6376901119
77	0.6362135024
78	0.633962504
79	0.6320371812
80	0.6289001813
81	0.6271182118
82	0.6255772651
83	0.6229525447
84	0.6212130023
85	0.6178650567
86	0.6167775661
87	0.6163163964
88	0.6145521623
89	0.6132758705
90	0.6114206612
91	0.6096569794
92	0.6075062191
93	0.6039930842
94	0.6022111883
95	0.6003310013
96	0.5988695207
97	0.5971926356
98	0.5944398278
99	0.5926870263
100	0.5915162743
101	0.5892150104
102	0.5883394484
103	0.5873144468
104	0.5849391371
105	0.5833793629
106	0.5822131927
107	0.5814066255
108	0.5804943134
109	0.5783167863
110	0.5768953411
111	0.5753023194
112	0.5729248753
113	0.57244388
114	0.5705712051
115	0.5680850794
116	0.5648657472
117	0.5626254553
118	0.5605865162
119	0.5602764629
120	0.5594727467
121	0.5580788995
122	0.5557295254
123	0.5548566685
124	0.5542499583
125	0.551986198
126	0.5506822666
127	0.5492517656
128	0.5477526055
129	0.5464460004
130	0.5460159606
131	0.5449607373
132	0.542104556
133	0.5401027161
134	0.5394137948
135	0.5374147973
136	0.5349886342
137	0.5329842384
138	0.5322352227
139	0.5304209053
140	0.5297732631
141	0.5281273874
142	0.5260631331
143	0.5244262035
144	0.5234946815
145	0.5220550615
146	0.5210112324
147	0.5192442314
148	0.5179174958
149	0.5170938183
150	0.5151515655
151	0.5142581047
152	0.5130256345
153	0.5112100887
154	0.5093120565
155	0.508866734
156	0.5083570126
157	0.5073967657
158	0.5052689507
159	0.5042677817
160	0.5017548498
161	0.4997795043
162	0.4985070002
163	0.4965140064
164	0.4956655005
165	0.4948166679
166	0.4933037606
167	0.4926337856
168	0.4911806414
169	0.4895571969
170	0.4882436234
171	0.4878360493
172	0.4862291374
173	0.4845730919
174	0.4840435452
175	0.4830390031
176	0.4819312402
177	0.481112515
178	0.4803880709
179	0.479942139
180	0.4778012931
181	0.4770116337
182	0.4756743851
183	0.4749738085
184	0.4729186799
185	0.4718718292
186	0.471117651
187	0.469633916
188	0.469297627
189	0.4681938659
190	0.4674339722
191	0.4665002791
192	0.465939869
193	0.4647603162
194	0.4636681973
195	0.462350577
196	0.4622073113
197	0.4615871432
198	0.4605534938
199	0.4592291735
