iter	Passed	Remaining
0	5	1068
1	10	1036
2	15	1021
3	20	1011
4	25	979
5	30	980
6	34	963
7	40	975
8	46	983
9	50	965
10	55	956
11	61	956
12	66	950
13	71	952
14	77	950
15	81	940
16	87	938
17	92	937
18	97	929
19	102	922
20	106	911
21	111	905
22	117	900
23	121	889
24	124	871
25	129	868
26	135	867
27	140	860
28	146	862
29	151	855
30	155	850
31	161	846
32	166	841
33	170	832
34	176	829
35	180	823
36	185	815
37	190	814
38	195	806
39	200	800
40	205	797
41	210	791
42	215	785
43	219	777
44	224	774
45	229	767
46	234	761
47	239	758
48	244	752
49	249	748
50	254	743
51	259	738
52	264	734
53	270	730
54	275	725
55	281	723
56	286	718
57	291	713
58	296	708
59	301	703
60	307	700
61	312	694
62	316	687
63	322	684
64	326	678
65	331	672
66	337	669
67	342	665
68	347	659
69	354	658
70	358	652
71	363	646
72	369	642
73	373	636
74	378	630
75	384	627
76	389	622
77	394	616
78	399	612
79	404	606
80	409	601
81	414	596
82	419	591
83	424	586
84	429	580
85	435	576
86	439	571
87	444	565
88	451	563
89	457	558
90	461	552
91	466	547
92	470	541
93	475	536
94	481	532
95	486	527
96	491	521
97	496	517
98	501	512
99	506	506
100	511	501
101	517	496
102	546	515
103	555	512
104	567	513
105	582	516
106	591	513
107	602	513
108	612	511
109	622	509
110	636	510
111	641	504
112	648	499
113	654	493
114	659	487
115	665	481
116	671	476
117	682	474
118	692	471
119	699	466
120	705	460
121	710	454
122	715	448
123	720	441
124	725	435
125	730	429
126	735	422
127	739	416
128	745	410
129	750	404
130	754	397
131	760	391
132	765	385
133	770	379
134	776	373
135	781	367
136	785	361
137	792	355
138	796	349
139	801	343
140	808	338
141	813	332
142	817	326
143	824	320
144	828	314
145	833	308
146	839	302
147	844	296
148	848	290
149	853	284
150	858	278
151	864	272
152	868	266
153	873	261
154	878	255
155	883	249
156	888	243
157	893	237
158	897	231
159	903	225
160	907	219
161	913	214
162	919	208
163	923	202
164	929	197
165	934	191
166	939	185
167	944	179
168	949	174
169	954	168
170	959	162
171	963	156
172	969	151
173	974	145
174	978	139
175	984	134
176	988	128
177	993	122
178	999	117
179	1004	111
180	1009	105
181	1013	100
182	1018	94
183	1023	89
184	1029	83
185	1034	77
186	1040	72
187	1044	66
188	1049	61
189	1053	55
190	1058	49
191	1062	44
192	1066	38
193	1071	33
194	1076	27
195	1081	22
196	1085	16
197	1090	11
198	1095	5
199	1099	0
